File accession,count_type,experiment_id,bio_sample_id,tissue,replicate,dev_time,file_name
ENCFF329ACL,reads,ENCSR160IIN,UBERON:0001890,forebrain,1,E11.5,forebrain_E11.5_1_ENCFF329ACL.fastq.gz
ENCFF251LNG,reads,ENCSR160IIN,UBERON:0001890,forebrain,2,E11.5,forebrain_E11.5_2_ENCFF251LNG.fastq.gz
ENCFF896COV,reads,ENCSR160IIN,UBERON:0001890,forebrain,2,E11.5,forebrain_E11.5_2_ENCFF896COV.fastq.gz
ENCFF959PSX,reads,ENCSR970EWM,UBERON:0001890,forebrain,2,E13.5,forebrain_E13.5_2_ENCFF959PSX.fastq.gz
ENCFF235DNM,reads,ENCSR970EWM,UBERON:0001890,forebrain,1,E13.5,forebrain_E13.5_1_ENCFF235DNM.fastq.gz
ENCFF270GKY,reads,ENCSR185LWM,UBERON:0001890,forebrain,1,E14.5,forebrain_E14.5_1_ENCFF270GKY.fastq.gz
ENCFF460TCF,reads,ENCSR185LWM,UBERON:0001890,forebrain,1,E14.5,forebrain_E14.5_1_ENCFF460TCF.fastq.gz
ENCFF126IRS,reads,ENCSR185LWM,UBERON:0001890,forebrain,2,E14.5,forebrain_E14.5_2_ENCFF126IRS.fastq.gz
ENCFF748SRJ,reads,ENCSR185LWM,UBERON:0001890,forebrain,2,E14.5,forebrain_E14.5_2_ENCFF748SRJ.fastq.gz
ENCFF447EXU,reads,ENCSR362AIZ,UBERON:0001890,forebrain,2,P0,forebrain_P0_2_ENCFF447EXU.fastq.gz
ENCFF037JQC,reads,ENCSR362AIZ,UBERON:0001890,forebrain,1,P0,forebrain_P0_1_ENCFF037JQC.fastq.gz
ENCFF458NWF,reads,ENCSR362AIZ,UBERON:0001890,forebrain,2,P0,forebrain_P0_2_ENCFF458NWF.fastq.gz
ENCFF358MFI,reads,ENCSR362AIZ,UBERON:0001890,forebrain,1,P0,forebrain_P0_1_ENCFF358MFI.fastq.gz
ENCFF891HIX,reads,ENCSR752RGN,UBERON:0001890,forebrain,2,E15.5,forebrain_E15.5_2_ENCFF891HIX.fastq.gz
ENCFF179JEC,reads,ENCSR752RGN,UBERON:0001890,forebrain,1,E15.5,forebrain_E15.5_1_ENCFF179JEC.fastq.gz
ENCFF203BWA,reads,ENCSR647QBV,UBERON:0001890,forebrain,2,E12.5,forebrain_E12.5_2_ENCFF203BWA.fastq.gz
ENCFF920QAY,reads,ENCSR647QBV,UBERON:0001890,forebrain,1,E12.5,forebrain_E12.5_1_ENCFF920QAY.fastq.gz
ENCFF294JRP,reads,ENCSR647QBV,UBERON:0001890,forebrain,1,E12.5,forebrain_E12.5_1_ENCFF294JRP.fastq.gz
ENCFF700OLU,reads,ENCSR647QBV,UBERON:0001890,forebrain,2,E12.5,forebrain_E12.5_2_ENCFF700OLU.fastq.gz
ENCFF920CNZ,reads,ENCSR304RDL,UBERON:0001890,forebrain,1,E10.5,forebrain_E10.5_1_ENCFF920CNZ.fastq.gz
ENCFF320FJX,reads,ENCSR304RDL,UBERON:0001890,forebrain,1,E10.5,forebrain_E10.5_1_ENCFF320FJX.fastq.gz
ENCFF528EVC,reads,ENCSR304RDL,UBERON:0001890,forebrain,2,E10.5,forebrain_E10.5_2_ENCFF528EVC.fastq.gz
ENCFF663SNC,reads,ENCSR304RDL,UBERON:0001890,forebrain,2,E10.5,forebrain_E10.5_2_ENCFF663SNC.fastq.gz
ENCFF931IVO,reads,ENCSR080EVZ,UBERON:0001890,forebrain,1,E16.5,forebrain_E16.5_1_ENCFF931IVO.fastq.gz
ENCFF114DRT,reads,ENCSR080EVZ,UBERON:0001890,forebrain,2,E16.5,forebrain_E16.5_2_ENCFF114DRT.fastq.gz
