UniqueCount	AmbigCount
0	0
0	0
10	65
3	39
16	40
4	0
53	0
140	0
74	0
0	0
19	0
1	10
27	3
164	2
0	0
0	0
0	0
0	0
0	0
4	0
0	0
0	0
0	0
0	0
0	0
14	169
0	124
0	131
0	122
2	45
1	14
2	54
0	57
2	5
0	1
0	4
0	1
0	0
0	0
0	5
17	149
4	5
0	0
2	0
12	1271
2	1670
106	2757
3	769
0	1911
126	671
10	1363
0	504
19	2
4	826
2137	1393
0	834
0	439
2	334
1	1061
1	606
126	314
1	1464
792	6196
57	5654
2	7920
29	0
20	906
8	865
12	498
2	353
0	241
6	62
1	0
3	0
47	1
20	1
0	0
1	5256
132	7086
121	1655
82	4941
131	709
1	649
180	6686
114	2274
0	0
11	4
0	0
16	3
7	16
0	11
0	16
1	12
0	0
0	1
1	0
8	1
0	0
1	302
0	484
59	4189
17	332
0	153
0	2333
0	3430
12	843
0	969
2	25
3	160
2	33
6	69
2	215
48	34
0	419
341	227
0	57
0	169
1	0
1	159
0	4
183	218
1	2251
0	2241
2	2282
0	97
2	144
0	1837
59	1716
17	475
0	2251
1	252
0	201
0	221
0	120
6	0
1	28
5	1066
0	0
0	0
0	0
0	0
431	2168
0	361
0	55
0	1659
0	532
5	171
10	2019
1	1969
4	19
48	5
2	861
0	0
0	0
0	0
28	0
3	0
5	0
23	0
0	0
0	24
0	0
0	0
0	39
0	0
0	122
0	153
0	186
22	172
0	23
1	11
0	49
19	113
19	122
25	8
1	17
1	1
0	8
2	0
0	0
24	0
0	1496
1	77
0	0
0	0
0	0
1	235
12	0
0	0
1	0
0	16
0	0
0	0
0	0
0	0
1453	20
4	41
0	40
0	3
0	7
0	35
11	10
0	12
5	53
1	13
0	11
0	6550
697	45
0	0
216	96
1	95
1	9
2	13
0	53
3379	561
0	670
0	292
0	2
0	1
0	78
0	0
0	0
8	378
0	376
0	387
2	3
0	296
2	327
1	380
0	18
1	61
0	324
1	37
3	54
1	437
0	0
8	45
0	51
0	39
66	49
14	46
2	11
7	751
190	611
0	538
0	644
20	546
1	0
1	4
0	4
0	0
0	2
0	16
1	16
0	8
0	10
0	11
1	0
0	0
106	5346
0	3321
27	3329
0	1946
144	2842
4	1509
79	745
136	68
2	232
150	1290
971	530
0	467
0	760
7	255
31	782
16	798
0	396
0	743
0	390
1	339
0	898
0	153
313	30
0	90
3	52
11	109
7	83
0	37
0	15
0	126
3	11
8	43
1	31
1	116
2	0
568	1360
0	97
3	78
79	47
4	11
1	1130
21	72
0	165
2	0
15	0
0	0
0	0
0	1
0	0
0	0
3	16
0	0
0	0
1	0
0	4
1	60
0	0
159	111
46	18
0	39
0	16
0	3
0	3
0	14
0	4
