UniqueCount	AmbigCount
5	0
0	0
24	266
14	170
161	180
5	0
35	0
128	0
33	0
1	0
6	0
0	18
13	0
99	1
1	0
0	0
0	0
0	0
0	0
10	3
0	3
0	3
0	3
0	0
0	0
8	196
0	145
0	163
0	152
0	58
3	19
3	64
0	69
3	5
0	0
0	5
0	0
0	0
0	0
1	1
2	96
0	2
0	0
0	0
1	1382
0	1302
25	2234
24	621
0	1618
144	856
55	1467
0	451
7	0
5	521
1326	885
0	523
0	276
0	216
4	689
0	376
36	194
1	1029
593	5676
37	5227
4	4670
29	0
39	926
9	897
5	499
1	332
0	260
4	63
0	1
0	0
10	0
2	0
1	0
0	7548
183	10239
128	2303
29	7143
93	901
1	893
350	9793
33	3103
0	0
7	0
0	0
31	27
44	166
1	114
0	160
0	111
0	0
0	0
0	0
161	0
0	0
2	283
0	455
44	3303
7	283
1	151
0	2010
1	2639
8	735
0	653
1	23
1	97
2	23
2	30
1	101
30	16
0	245
110	184
0	38
0	146
2	0
0	104
1	0
81	273
1	650
0	647
3	665
0	29
1	40
0	562
7	527
4	126
0	650
1	84
0	61
0	62
1	24
2	0
0	2
3	663
0	0
0	0
0	0
0	0
582	3952
0	775
0	102
0	3005
0	1082
0	326
2	3596
18	3485
1	0
15	2
3	685
0	0
0	0
0	0
61	0
4	0
10	0
16	0
0	0
0	0
0	0
0	0
0	8
0	0
0	300
0	338
0	378
22	352
0	76
0	24
0	138
7	186
7	203
5	4
6	14
0	0
0	7
0	0
0	0
10	0
0	158
2	12
0	0
0	0
0	0
0	139
2	0
1	0
1	0
1	3
0	0
0	0
0	0
0	0
1149	2
19	858
6	821
1	94
1	143
0	685
5	2
2	4
2	161
0	21
0	1
0	2765
1709	144
0	0
55	22
0	22
1	2
1	2
0	9
2660	518
0	585
0	281
0	1
0	1
0	35
0	1
0	0
9	585
0	574
0	599
4	5
0	424
0	490
1	587
0	25
0	91
3	481
2	42
1	73
0	89
0	0
5	48
0	59
0	52
20	55
2	53
0	5
7	1058
55	671
0	491
0	841
44	817
0	0
2	4
0	4
0	0
0	4
1	26
2	26
1	19
0	17
0	19
0	0
0	0
167	6823
0	4100
18	4403
0	2619
153	3788
2	2009
19	968
29	29
3	102
84	683
263	220
0	200
0	416
6	151
24	415
6	465
0	217
0	443
3	212
0	164
0	523
0	110
81	9
0	30
1	19
5	50
0	43
0	13
0	11
0	70
0	7
2	22
1	17
0	52
6	0
405	1337
0	85
0	49
19	27
0	3
0	1173
5	86
0	188
1	0
11	0
0	10
2	10
1	0
0	0
0	0
1	3
0	0
0	0
0	0
0	16
7	7
0	0
130	98
20	19
0	48
0	11
0	4
0	3
0	16
0	3
0	0
0	0
0	0
7	732
45	455
3	166
4	224
5	383
47	743
0	314
6	300
0	376
0	69
5	0
0	0
5	0
3	15
0	1
0	0
5	88
